N,P,K,temperature,humidity,ph,rainfall,soil_texture,crop_label
22.0,71.0,17.0,18.15,19.39,5.51,107.69,0.0,0.0
24.0,18.0,6.0,26.57,94.45,6.29,116.38,1.0,4.0
9.0,16.0,36.0,23.78,92.93,5.89,106.98,3.0,2.0
82.0,40.0,40.0,23.83,84.81,6.27,298.56,0.0,6.0
85.0,25.0,47.0,26.11,87.64,6.3,58.48,2.0,5.0
27.0,63.0,19.0,20.93,21.19,5.56,133.19,0.0,0.0
36.0,7.0,37.0,19.87,86.36,5.78,108.32,3.0,2.0
75.0,38.0,39.0,23.45,84.79,6.22,283.93,0.0,6.0
4.0,20.0,41.0,24.27,93.8,6.54,104.54,3.0,2.0
23.0,72.0,84.0,19.02,17.13,6.92,79.93,1.0,7.0
27.0,62.0,24.0,28.63,66.77,7.35,62.27,3.0,1.0
11.0,18.0,42.0,21.58,94.88,5.94,102.86,3.0,2.0
99.0,50.0,15.0,18.15,71.09,5.57,88.08,3.0,3.0
5.0,59.0,15.0,18.87,20.18,5.97,134.18,0.0,0.0
77.0,36.0,23.0,24.71,56.73,6.65,88.45,3.0,3.0
110.0,15.0,48.0,28.58,92.87,6.21,27.6,3.0,8.0
37.0,55.0,82.0,19.46,18.02,6.42,78.45,1.0,7.0
42.0,62.0,75.0,18.18,18.9,7.01,81.85,1.0,7.0
29.0,36.0,25.0,28.29,88.44,7.13,48.57,1.0,9.0
79.0,43.0,39.0,21.67,80.71,7.06,210.81,0.0,6.0
27.0,60.0,17.0,26.42,63.65,7.03,64.42,3.0,1.0
28.0,68.0,19.0,34.64,61.39,7.7,72.43,3.0,1.0
25.0,27.0,41.0,19.2,94.28,6.92,108.04,3.0,2.0
30.0,63.0,16.0,23.61,21.91,5.53,100.6,0.0,0.0
17.0,77.0,24.0,20.77,18.93,5.57,109.02,0.0,0.0
89.0,60.0,17.0,25.38,57.21,5.98,101.7,3.0,3.0
39.0,76.0,76.0,19.97,15.57,6.14,69.16,1.0,7.0
0.0,18.0,14.0,29.77,92.01,7.21,114.42,1.0,4.0
39.0,37.0,15.0,29.0,83.79,6.82,59.84,1.0,9.0
83.0,9.0,45.0,25.85,89.13,6.05,46.85,2.0,5.0
95.0,12.0,46.0,26.22,81.01,6.32,54.65,2.0,5.0
95.0,13.0,46.0,29.84,93.76,6.13,23.28,3.0,8.0
40.0,58.0,15.0,29.46,87.61,6.98,43.15,1.0,9.0
36.0,43.0,22.0,27.83,87.17,6.39,58.37,1.0,9.0
113.0,20.0,48.0,27.47,94.88,6.44,27.28,3.0,8.0
23.0,57.0,19.0,32.84,68.0,7.25,73.4,3.0,1.0
60.0,57.0,24.0,18.66,61.55,6.12,75.03,3.0,3.0
22.0,17.0,5.0,24.12,90.72,6.95,102.84,1.0,4.0
21.0,38.0,21.0,29.76,86.45,6.64,37.55,1.0,9.0
98.0,7.0,45.0,27.79,92.51,6.16,26.85,3.0,8.0
11.0,10.0,45.0,22.63,88.46,6.4,109.04,3.0,2.0
58.0,70.0,84.0,20.65,16.61,6.23,74.66,1.0,7.0
43.0,68.0,20.0,29.58,66.18,7.5,69.44,3.0,1.0
76.0,49.0,42.0,24.96,84.48,5.21,196.96,0.0,6.0
3.0,77.0,25.0,24.85,22.89,5.61,62.21,0.0,0.0
0.0,55.0,22.0,22.99,20.58,5.92,143.86,0.0,0.0
88.0,38.0,15.0,25.08,65.92,6.46,62.49,3.0,3.0
39.0,71.0,84.0,20.28,16.4,8.14,82.52,1.0,7.0
61.0,59.0,17.0,23.34,59.25,6.47,105.01,3.0,3.0
98.0,7.0,45.0,27.79,92.51,6.16,26.85,3.0,8.0
20.0,8.0,12.0,25.3,94.96,7.26,117.97,1.0,4.0
72.0,40.0,38.0,20.41,82.21,7.59,245.15,0.0,6.0
36.0,65.0,80.0,18.29,16.68,6.05,74.87,1.0,7.0
59.0,69.0,80.0,19.08,17.87,8.17,69.41,1.0,7.0
0.0,5.0,36.0,24.35,90.89,6.15,105.53,3.0,2.0
53.0,65.0,76.0,20.19,16.42,6.72,77.34,1.0,7.0
108.0,23.0,51.0,26.84,83.85,6.11,40.23,2.0,5.0
13.0,60.0,25.0,17.14,20.61,5.69,128.26,0.0,0.0
79.0,59.0,17.0,20.38,63.74,6.64,108.51,3.0,3.0
8.0,16.0,6.0,12.23,90.26,7.11,108.42,1.0,4.0
37.0,56.0,25.0,22.06,19.6,5.77,126.73,0.0,0.0
105.0,30.0,50.0,25.3,81.78,6.38,57.04,2.0,5.0
114.0,30.0,51.0,29.25,90.07,6.07,25.93,3.0,8.0
24.0,55.0,78.0,17.3,15.15,6.65,75.58,1.0,7.0
7.0,16.0,9.0,18.88,92.04,7.81,114.67,1.0,4.0
14.0,48.0,21.0,29.25,84.8,6.99,53.43,1.0,9.0
89.0,22.0,52.0,24.9,86.11,6.22,53.15,2.0,5.0
12.0,61.0,19.0,19.33,24.14,5.66,68.51,0.0,0.0
39.0,30.0,38.0,20.13,87.6,6.97,108.07,3.0,2.0
104.0,17.0,46.0,25.71,80.23,6.19,43.09,2.0,5.0
79.0,45.0,20.0,23.81,59.25,5.72,89.96,3.0,3.0
32.0,13.0,42.0,23.5,92.98,5.79,106.62,3.0,2.0
95.0,21.0,47.0,27.93,93.56,6.43,20.66,3.0,8.0
46.0,76.0,77.0,18.24,19.69,6.97,83.75,1.0,7.0
23.0,59.0,19.0,21.99,24.87,5.85,129.57,0.0,0.0
19.0,35.0,24.0,27.11,83.64,6.88,49.12,1.0,9.0
91.0,7.0,52.0,25.08,83.46,6.41,56.4,2.0,5.0
25.0,63.0,20.0,15.79,21.15,5.5,95.17,0.0,0.0
4.0,40.0,21.0,28.8,80.46,6.73,44.3,1.0,9.0
60.0,59.0,22.0,31.87,66.74,7.19,74.22,3.0,1.0
42.0,74.0,83.0,19.26,14.28,7.55,65.78,1.0,7.0
77.0,52.0,17.0,24.86,65.74,5.71,75.82,3.0,3.0
30.0,44.0,16.0,29.73,82.89,6.44,50.92,1.0,9.0
89.0,45.0,36.0,21.33,80.47,6.44,185.5,0.0,6.0
0.0,18.0,14.0,29.77,92.01,7.21,114.42,1.0,4.0
99.0,36.0,20.0,20.58,65.35,6.67,78.35,3.0,3.0
40.0,68.0,17.0,34.13,65.15,7.73,70.41,3.0,1.0
104.0,23.0,47.0,26.98,86.7,6.77,42.91,2.0,5.0
0.0,23.0,15.0,22.57,93.37,7.6,109.86,1.0,4.0
53.0,74.0,15.0,29.43,64.94,7.52,72.18,3.0,1.0
31.0,58.0,15.0,27.11,84.97,7.12,51.53,1.0,9.0
71.0,46.0,40.0,20.28,82.12,7.24,191.95,0.0,6.0
23.0,62.0,85.0,18.97,19.52,8.49,80.71,1.0,7.0
27.0,40.0,24.0,27.84,90.0,7.06,52.85,1.0,9.0
3.0,26.0,39.0,24.38,91.19,7.08,103.6,3.0,2.0
119.0,25.0,51.0,26.47,80.92,6.28,53.66,2.0,5.0
12.0,6.0,8.0,30.85,92.87,6.39,107.41,1.0,4.0
43.0,68.0,81.0,17.48,17.93,6.76,78.92,1.0,7.0
43.0,68.0,81.0,17.48,17.93,6.76,78.92,1.0,7.0
94.0,50.0,19.0,23.3,73.63,5.87,97.59,3.0,3.0
31.0,5.0,14.0,17.67,91.7,6.58,110.69,1.0,4.0
25.0,65.0,21.0,33.86,68.59,6.88,69.24,3.0,1.0
27.0,56.0,20.0,19.26,20.51,5.54,94.95,0.0,0.0
44.0,77.0,21.0,32.64,61.3,7.33,61.84,3.0,1.0
40.0,78.0,20.0,19.19,20.83,5.67,80.15,0.0,0.0
60.0,49.0,44.0,20.78,84.5,6.24,240.08,0.0,6.0
84.0,44.0,21.0,21.87,61.91,5.85,107.27,3.0,3.0
109.0,10.0,53.0,26.82,87.83,6.55,46.06,2.0,5.0
5.0,29.0,44.0,21.02,93.06,5.58,104.78,3.0,2.0
25.0,21.0,11.0,32.24,90.15,6.46,104.71,1.0,4.0
95.0,12.0,51.0,25.76,84.17,6.68,44.22,2.0,5.0
80.0,16.0,46.0,25.5,81.4,6.94,48.48,2.0,5.0
60.0,48.0,39.0,24.28,80.3,7.04,231.09,0.0,6.0
14.0,5.0,36.0,24.93,85.19,5.83,104.77,3.0,2.0
76.0,40.0,43.0,25.16,83.12,5.07,231.38,0.0,6.0
37.0,6.0,13.0,26.03,91.51,7.51,101.28,1.0,4.0
22.0,80.0,20.0,23.01,18.87,5.67,100.12,0.0,0.0
30.0,44.0,16.0,29.73,82.89,6.44,50.92,1.0,9.0
110.0,21.0,54.0,26.74,87.82,6.75,47.46,2.0,5.0
23.0,39.0,22.0,29.26,81.98,6.86,42.02,1.0,9.0
31.0,53.0,16.0,28.74,85.82,6.45,48.55,1.0,9.0
33.0,77.0,21.0,30.33,65.63,7.01,71.65,3.0,1.0
83.0,45.0,21.0,18.83,58.75,5.72,79.75,3.0,3.0
26.0,27.0,10.0,28.07,92.91,6.08,114.13,1.0,4.0
39.0,17.0,45.0,18.1,90.42,6.92,104.88,3.0,2.0
85.0,9.0,53.0,28.21,92.87,6.45,28.79,3.0,8.0
32.0,60.0,83.0,19.69,19.44,8.83,91.76,1.0,7.0
22.0,23.0,44.0,20.13,89.32,6.14,107.34,3.0,2.0
31.0,40.0,22.0,29.41,86.16,6.37,53.35,1.0,9.0
40.0,78.0,20.0,19.19,20.83,5.67,80.15,0.0,0.0
40.0,30.0,35.0,20.89,91.08,6.27,104.44,3.0,2.0
66.0,60.0,38.0,22.09,83.47,6.37,231.74,0.0,6.0
7.0,79.0,23.0,19.64,19.69,5.82,96.66,0.0,0.0
82.0,25.0,51.0,24.31,87.47,6.07,48.11,2.0,5.0
1.0,62.0,23.0,15.44,18.37,5.61,139.03,0.0,0.0
22.0,70.0,19.0,18.24,21.08,5.52,69.45,0.0,0.0
23.0,59.0,25.0,27.83,88.73,6.32,56.69,1.0,9.0
99.0,50.0,15.0,18.15,71.09,5.57,88.08,3.0,3.0
113.0,20.0,48.0,27.47,94.88,6.44,27.28,3.0,8.0
30.0,20.0,38.0,22.6,93.16,7.06,110.09,3.0,2.0
72.0,60.0,25.0,18.53,69.03,5.77,88.1,3.0,3.0
108.0,23.0,51.0,26.84,83.85,6.11,40.23,2.0,5.0
28.0,46.0,16.0,29.01,84.96,6.66,45.91,1.0,9.0
38.0,60.0,76.0,18.65,17.81,8.87,77.93,1.0,7.0
35.0,63.0,76.0,17.82,17.61,6.71,90.82,1.0,7.0
68.0,57.0,43.0,26.09,80.38,5.71,182.9,0.0,6.0
104.0,17.0,46.0,25.71,80.23,6.19,43.09,2.0,5.0
23.0,59.0,19.0,21.99,24.87,5.85,129.57,0.0,0.0
91.0,13.0,47.0,29.11,92.44,6.14,27.96,3.0,8.0
104.0,23.0,47.0,26.98,86.7,6.77,42.91,2.0,5.0
60.0,68.0,83.0,19.12,18.43,6.62,85.53,1.0,7.0
84.0,29.0,49.0,29.94,93.91,6.25,20.39,3.0,8.0
82.0,23.0,49.0,26.81,87.22,6.87,51.7,2.0,5.0
85.0,21.0,47.0,29.87,90.61,6.19,24.7,3.0,8.0
87.0,21.0,52.0,27.35,94.29,6.07,27.21,3.0,8.0
90.0,16.0,45.0,24.92,80.62,6.29,50.56,2.0,5.0
3.0,27.0,44.0,24.57,92.03,6.59,110.96,3.0,2.0
18.0,12.0,8.0,12.59,91.82,6.21,119.39,1.0,4.0
118.0,18.0,52.0,28.05,90.83,6.56,20.76,3.0,8.0
118.0,18.0,52.0,28.05,90.83,6.56,20.76,3.0,8.0
80.0,26.0,55.0,24.53,88.99,6.14,49.12,2.0,5.0
21.0,29.0,12.0,22.3,92.16,6.44,117.37,1.0,4.0
37.0,65.0,16.0,22.84,18.97,5.68,63.59,0.0,0.0
100.0,10.0,53.0,24.54,84.61,6.21,42.01,2.0,5.0
14.0,57.0,15.0,29.88,83.15,6.62,40.12,1.0,9.0
29.0,22.0,40.0,23.63,89.73,6.15,107.68,3.0,2.0
119.0,19.0,55.0,25.19,83.45,6.82,46.87,2.0,5.0
32.0,79.0,15.0,23.91,20.75,5.71,81.6,0.0,0.0
39.0,58.0,85.0,17.89,15.41,6.0,68.55,1.0,7.0
114.0,27.0,48.0,27.82,93.04,6.53,26.32,3.0,8.0
27.0,80.0,15.0,19.07,21.21,5.79,86.22,0.0,0.0
4.0,13.0,6.0,15.63,94.26,7.56,101.47,1.0,4.0
23.0,39.0,22.0,29.26,81.98,6.86,42.02,1.0,9.0
21.0,21.0,38.0,22.55,89.33,6.33,104.9,3.0,2.0
22.0,64.0,82.0,19.49,17.17,6.47,87.51,1.0,7.0
28.0,72.0,84.0,18.73,19.18,6.48,71.58,1.0,7.0
51.0,72.0,75.0,18.89,14.99,7.1,80.11,1.0,7.0
99.0,6.0,46.0,28.61,94.22,6.4,28.99,3.0,8.0
28.0,7.0,9.0,34.59,92.13,6.73,115.57,1.0,4.0
36.0,24.0,41.0,24.94,94.26,7.01,103.88,3.0,2.0
96.0,18.0,50.0,25.33,84.31,6.9,41.53,2.0,5.0
89.0,54.0,38.0,24.52,83.54,6.69,230.45,0.0,6.0
12.0,78.0,23.0,16.07,18.72,6.0,88.07,0.0,0.0
95.0,16.0,46.0,27.08,90.14,6.75,24.45,3.0,8.0
82.0,43.0,38.0,23.29,81.43,5.11,242.32,0.0,6.0
53.0,74.0,15.0,29.43,64.94,7.52,72.18,3.0,1.0
57.0,56.0,78.0,17.34,18.76,6.86,67.95,1.0,7.0
4.0,20.0,41.0,24.27,93.8,6.54,104.54,3.0,2.0
4.0,19.0,43.0,18.07,93.15,5.78,106.36,3.0,2.0
58.0,61.0,15.0,30.95,64.23,7.4,62.79,3.0,1.0
107.0,5.0,52.0,26.66,89.98,6.88,57.41,2.0,5.0
88.0,46.0,42.0,22.68,83.46,6.6,194.27,0.0,6.0
30.0,65.0,82.0,20.71,15.28,6.11,76.78,1.0,7.0
33.0,80.0,22.0,28.57,65.72,6.59,70.09,3.0,1.0
7.0,56.0,18.0,18.31,24.33,5.7,76.14,0.0,0.0
20.0,8.0,12.0,25.3,94.96,7.26,117.97,1.0,4.0
28.0,7.0,9.0,34.59,92.13,6.73,115.57,1.0,4.0
20.0,20.0,10.0,11.87,93.68,6.98,106.06,1.0,4.0
82.0,23.0,49.0,26.81,87.22,6.87,51.7,2.0,5.0
29.0,16.0,36.0,19.81,88.93,5.74,102.86,3.0,2.0
5.0,13.0,37.0,22.34,89.79,5.65,103.32,3.0,2.0
36.0,38.0,15.0,28.36,87.6,6.32,58.0,1.0,9.0
10.0,5.0,5.0,21.21,91.35,7.82,112.98,1.0,4.0
1.0,62.0,23.0,15.44,18.37,5.61,139.03,0.0,0.0
37.0,11.0,36.0,24.25,85.56,6.71,106.92,3.0,2.0
7.0,20.0,12.0,16.53,94.77,6.48,110.04,1.0,4.0
32.0,57.0,18.0,15.54,23.76,5.7,107.39,0.0,0.0
5.0,45.0,21.0,28.36,88.01,6.49,43.05,1.0,9.0
9.0,8.0,40.0,22.49,89.92,6.55,111.66,3.0,2.0
29.0,63.0,17.0,30.03,67.89,7.26,66.47,3.0,1.0
83.0,58.0,45.0,25.76,83.52,5.88,245.66,0.0,6.0
54.0,62.0,80.0,17.49,16.39,7.49,79.46,1.0,7.0
42.0,67.0,77.0,18.99,15.94,6.11,78.71,1.0,7.0
84.0,25.0,52.0,24.37,81.25,6.13,44.21,2.0,5.0
14.0,22.0,9.0,17.25,91.14,6.54,112.51,1.0,4.0
29.0,16.0,36.0,19.81,88.93,5.74,102.86,3.0,2.0
19.0,55.0,20.0,27.43,87.81,7.19,54.73,1.0,9.0
81.0,53.0,42.0,23.68,81.04,5.18,233.7,0.0,6.0
31.0,26.0,9.0,11.7,93.26,7.57,103.2,1.0,4.0
120.0,24.0,47.0,26.99,89.41,6.26,58.55,2.0,5.0
13.0,57.0,25.0,28.3,86.21,6.86,50.47,1.0,9.0
9.0,8.0,40.0,22.49,89.92,6.55,111.66,3.0,2.0
9.0,69.0,20.0,19.31,23.96,5.59,129.34,0.0,0.0
101.0,17.0,55.0,24.37,87.13,6.45,44.64,2.0,5.0
47.0,63.0,16.0,27.44,67.1,6.66,72.51,3.0,1.0
29.0,22.0,40.0,23.63,89.73,6.15,107.68,3.0,2.0
57.0,58.0,77.0,18.73,17.58,7.98,81.2,1.0,7.0
39.0,25.0,36.0,18.9,95.0,5.57,107.61,3.0,2.0
27.0,30.0,5.0,32.72,90.55,7.66,113.33,1.0,4.0
25.0,68.0,77.0,20.09,15.11,7.7,85.75,1.0,7.0
61.0,38.0,20.0,18.48,62.7,5.97,65.44,3.0,3.0
117.0,19.0,55.0,28.8,91.78,6.12,25.16,3.0,8.0
43.0,79.0,79.0,19.41,18.98,7.81,80.25,1.0,7.0
24.0,67.0,22.0,20.12,22.9,5.62,104.63,0.0,0.0
81.0,18.0,50.0,26.44,80.92,6.51,47.82,2.0,5.0
19.0,17.0,39.0,24.72,85.56,6.73,111.28,3.0,2.0
20.0,68.0,17.0,30.12,60.12,6.58,71.73,3.0,1.0
29.0,11.0,5.0,23.13,91.95,7.64,104.42,1.0,4.0
120.0,23.0,55.0,27.84,91.61,6.73,26.48,3.0,8.0
98.0,8.0,51.0,26.18,86.52,6.26,49.43,2.0,5.0
9.0,25.0,41.0,24.82,91.91,5.97,109.29,3.0,2.0
61.0,52.0,41.0,24.98,83.89,6.88,204.8,0.0,6.0
14.0,22.0,9.0,17.25,91.14,6.54,112.51,1.0,4.0
90.0,16.0,45.0,24.92,80.62,6.29,50.56,2.0,5.0
87.0,21.0,52.0,27.35,94.29,6.07,27.21,3.0,8.0
15.0,14.0,8.0,10.01,90.22,6.22,119.39,1.0,4.0
6.0,18.0,37.0,19.66,89.94,5.94,108.05,3.0,2.0
100.0,10.0,53.0,24.54,84.61,6.21,42.01,2.0,5.0
95.0,16.0,55.0,25.27,87.55,6.61,40.13,2.0,5.0
58.0,75.0,25.0,25.26,61.37,7.26,68.65,3.0,1.0
5.0,13.0,37.0,22.34,89.79,5.65,103.32,3.0,2.0
85.0,22.0,53.0,25.97,89.77,6.85,59.46,2.0,5.0
20.0,8.0,12.0,25.3,94.96,7.26,117.97,1.0,4.0
40.0,9.0,41.0,24.38,85.4,5.78,106.13,3.0,2.0
77.0,57.0,21.0,24.93,73.8,6.55,79.74,3.0,3.0
82.0,23.0,49.0,26.81,87.22,6.87,51.7,2.0,5.0
81.0,6.0,55.0,24.89,85.87,6.11,51.71,2.0,5.0
34.0,60.0,23.0,20.13,24.97,5.66,100.05,0.0,0.0
84.0,21.0,55.0,28.47,94.79,6.49,21.08,3.0,8.0
2.0,21.0,44.0,18.92,87.31,6.57,102.8,3.0,2.0
98.0,22.0,47.0,29.07,91.92,6.34,28.84,3.0,8.0
23.0,30.0,44.0,20.94,85.43,6.12,103.03,3.0,2.0
32.0,66.0,17.0,34.95,65.27,7.16,70.14,3.0,1.0
60.0,43.0,44.0,21.02,82.95,7.42,298.4,0.0,6.0
10.0,5.0,5.0,21.21,91.35,7.82,112.98,1.0,4.0
90.0,46.0,42.0,23.98,81.45,7.5,250.08,0.0,6.0
24.0,80.0,22.0,16.71,19.18,5.64,96.77,0.0,0.0
39.0,9.0,15.0,25.35,91.81,7.99,116.76,1.0,4.0
6.0,47.0,18.0,29.16,80.28,6.72,40.17,1.0,9.0
11.0,78.0,22.0,23.9,22.74,5.94,112.66,0.0,0.0
60.0,54.0,19.0,18.75,62.5,6.42,70.23,3.0,3.0
111.0,6.0,53.0,26.49,88.59,6.31,46.06,2.0,5.0
27.0,64.0,15.0,20.16,24.84,5.51,138.24,0.0,0.0
89.0,9.0,47.0,29.47,90.77,6.67,28.75,3.0,8.0
34.0,60.0,16.0,31.36,64.25,7.32,63.86,3.0,1.0
23.0,30.0,44.0,20.94,85.43,6.12,103.03,3.0,2.0
84.0,7.0,51.0,26.82,87.66,6.4,55.74,2.0,5.0
66.0,53.0,41.0,25.08,80.52,7.78,257.0,0.0,6.0
95.0,16.0,46.0,27.08,90.14,6.75,24.45,3.0,8.0
0.0,65.0,15.0,23.46,23.22,5.65,95.84,0.0,0.0
109.0,12.0,48.0,29.46,92.13,6.71,20.76,3.0,8.0
120.0,24.0,47.0,26.99,89.41,6.26,58.55,2.0,5.0
5.0,23.0,15.0,25.67,92.05,7.41,112.54,1.0,4.0
114.0,8.0,52.0,29.34,94.55,6.42,28.23,3.0,8.0
60.0,44.0,23.0,24.79,70.05,5.72,76.73,3.0,3.0
71.0,46.0,40.0,20.28,82.12,7.24,191.95,0.0,6.0
16.0,10.0,41.0,24.77,85.64,6.74,105.76,3.0,2.0
87.0,35.0,25.0,21.45,63.16,6.18,65.89,3.0,3.0
6.0,8.0,11.0,24.36,92.4,6.6,119.69,1.0,4.0
98.0,25.0,52.0,25.28,83.15,6.22,49.29,2.0,5.0
37.0,64.0,22.0,17.48,18.83,5.95,121.94,0.0,0.0
66.0,44.0,20.0,19.08,69.02,6.74,80.73,3.0,3.0
34.0,71.0,79.0,17.93,15.86,7.73,74.64,1.0,7.0
98.0,35.0,18.0,23.8,74.83,6.25,91.76,3.0,3.0
39.0,9.0,15.0,25.35,91.81,7.99,116.76,1.0,4.0
13.0,5.0,8.0,23.85,90.11,7.47,103.92,1.0,4.0
9.0,8.0,15.0,14.34,94.36,7.99,110.22,1.0,4.0
20.0,23.0,11.0,31.85,90.12,6.41,109.95,1.0,4.0
36.0,43.0,22.0,27.83,87.17,6.39,58.37,1.0,9.0
19.0,39.0,17.0,29.28,81.8,6.89,44.47,1.0,9.0
32.0,13.0,42.0,23.5,92.98,5.79,106.62,3.0,2.0
31.0,25.0,12.0,18.05,90.04,7.02,111.78,1.0,4.0
9.0,77.0,17.0,20.12,24.45,5.78,106.16,0.0,0.0
34.0,29.0,8.0,31.88,91.15,6.45,105.34,1.0,4.0
97.0,59.0,43.0,26.36,84.04,6.29,271.36,0.0,6.0
5.0,18.0,14.0,33.11,93.48,7.43,119.17,1.0,4.0
9.0,8.0,40.0,22.49,89.92,6.55,111.66,3.0,2.0
3.0,9.0,45.0,23.89,89.62,6.54,104.62,3.0,2.0
93.0,56.0,42.0,23.86,82.23,7.38,195.09,0.0,6.0
36.0,43.0,22.0,27.83,87.17,6.39,58.37,1.0,9.0
114.0,27.0,48.0,27.82,93.04,6.53,26.32,3.0,8.0
101.0,17.0,47.0,29.49,94.73,6.19,26.31,3.0,8.0
120.0,8.0,46.0,29.56,90.71,6.73,28.37,3.0,8.0
28.0,35.0,22.0,29.53,86.73,7.16,59.87,1.0,9.0
4.0,40.0,21.0,28.8,80.46,6.73,44.3,1.0,9.0
98.0,8.0,51.0,26.18,86.52,6.26,49.43,2.0,5.0
21.0,38.0,21.0,29.76,86.45,6.64,37.55,1.0,9.0
48.0,62.0,15.0,25.37,66.64,7.54,65.82,3.0,1.0
92.0,7.0,48.0,26.28,86.63,6.96,54.39,2.0,5.0
66.0,44.0,20.0,19.08,69.02,6.74,80.73,3.0,3.0
74.0,58.0,18.0,20.04,56.36,6.73,109.02,3.0,3.0
88.0,29.0,51.0,24.72,88.95,6.1,48.46,2.0,5.0
28.0,68.0,19.0,34.64,61.39,7.7,72.43,3.0,1.0
89.0,54.0,38.0,24.52,83.54,6.69,230.45,0.0,6.0
104.0,23.0,47.0,26.98,86.7,6.77,42.91,2.0,5.0
18.0,79.0,20.0,20.28,23.24,5.88,139.75,0.0,0.0
8.0,16.0,6.0,12.23,90.26,7.11,108.42,1.0,4.0
14.0,25.0,40.0,20.07,90.98,6.41,103.71,3.0,2.0
4.0,14.0,41.0,19.85,89.81,6.43,102.82,3.0,2.0
57.0,68.0,81.0,17.17,17.3,8.08,72.79,1.0,7.0
39.0,71.0,84.0,20.28,16.4,8.14,82.52,1.0,7.0
40.0,18.0,43.0,19.39,86.79,5.77,109.91,3.0,2.0
5.0,18.0,14.0,33.11,93.48,7.43,119.17,1.0,4.0
19.0,17.0,39.0,24.72,85.56,6.73,111.28,3.0,2.0
91.0,24.0,55.0,26.27,83.09,6.26,46.77,2.0,5.0
111.0,6.0,53.0,26.49,88.59,6.31,46.06,2.0,5.0
34.0,21.0,42.0,18.76,89.93,6.65,111.02,3.0,2.0
27.0,76.0,83.0,19.13,14.92,6.29,89.62,1.0,7.0
14.0,8.0,43.0,21.93,94.46,7.05,111.72,3.0,2.0
21.0,6.0,41.0,24.88,89.4,7.09,107.2,3.0,2.0
17.0,52.0,17.0,27.88,86.45,6.36,44.64,1.0,9.0
27.0,63.0,19.0,20.93,21.19,5.56,133.19,0.0,0.0
10.0,5.0,42.0,20.24,91.09,6.89,109.25,3.0,2.0
113.0,30.0,50.0,26.04,83.99,6.28,43.88,2.0,5.0
57.0,68.0,81.0,17.17,17.3,8.08,72.79,1.0,7.0
81.0,49.0,20.0,18.04,60.61,5.51,104.23,3.0,3.0
89.0,60.0,19.0,25.19,66.69,5.91,78.07,3.0,3.0
47.0,79.0,78.0,17.48,14.76,6.61,65.11,1.0,7.0
98.0,7.0,45.0,27.79,92.51,6.16,26.85,3.0,8.0
16.0,15.0,42.0,19.68,89.09,6.89,108.55,3.0,2.0
115.0,18.0,53.0,29.17,94.2,6.01,22.07,3.0,8.0
98.0,26.0,49.0,27.29,90.53,6.13,23.5,3.0,8.0
41.0,69.0,82.0,20.02,16.63,6.72,68.98,1.0,7.0
114.0,8.0,52.0,29.34,94.55,6.42,28.23,3.0,8.0
20.0,40.0,15.0,29.57,88.08,7.2,45.04,1.0,9.0
37.0,18.0,12.0,10.27,90.19,7.4,106.7,1.0,4.0
21.0,78.0,19.0,27.16,66.76,6.92,69.85,3.0,1.0
18.0,14.0,11.0,28.05,90.01,6.55,117.13,1.0,4.0
34.0,71.0,79.0,17.93,15.86,7.73,74.64,1.0,7.0
101.0,17.0,47.0,29.49,94.73,6.19,26.31,3.0,8.0
44.0,74.0,85.0,20.19,19.64,7.15,78.26,1.0,7.0
20.0,7.0,45.0,18.91,89.24,6.08,112.48,3.0,2.0
119.0,9.0,50.0,26.75,83.92,6.25,40.79,2.0,5.0
37.0,18.0,12.0,10.27,90.19,7.4,106.7,1.0,4.0
20.0,79.0,77.0,18.55,16.03,7.65,76.33,1.0,7.0
62.0,48.0,20.0,21.7,60.47,6.71,95.71,3.0,3.0
49.0,76.0,18.0,27.05,67.7,7.39,60.47,3.0,1.0
67.0,45.0,38.0,22.73,82.17,7.3,260.89,0.0,6.0
34.0,47.0,19.0,27.31,85.45,6.57,53.15,1.0,9.0
16.0,7.0,8.0,22.79,90.61,6.42,116.51,1.0,4.0
87.0,6.0,45.0,29.83,90.79,6.4,22.84,3.0,8.0
87.0,60.0,23.0,20.27,63.91,6.44,62.5,3.0,3.0
98.0,25.0,52.0,25.28,83.15,6.22,49.29,2.0,5.0
3.0,67.0,24.0,17.0,19.91,5.52,103.29,0.0,0.0
30.0,20.0,38.0,22.6,93.16,7.06,110.09,3.0,2.0
39.0,71.0,84.0,20.28,16.4,8.14,82.52,1.0,7.0
114.0,8.0,50.0,24.75,88.31,6.58,57.96,2.0,5.0
21.0,72.0,17.0,31.52,66.56,7.58,61.71,3.0,1.0
21.0,63.0,17.0,15.77,19.23,5.98,108.34,0.0,0.0
20.0,41.0,20.0,29.27,89.49,7.07,50.92,1.0,9.0
95.0,21.0,47.0,27.93,93.56,6.43,20.66,3.0,8.0
32.0,18.0,13.0,13.84,91.75,6.04,107.99,1.0,4.0
67.0,51.0,24.0,23.5,61.32,5.58,64.78,3.0,3.0
13.0,22.0,5.0,19.67,90.5,7.76,100.17,1.0,4.0
100.0,18.0,52.0,26.2,80.38,6.88,56.48,2.0,5.0
29.0,70.0,15.0,30.33,63.55,6.87,74.17,3.0,1.0
88.0,55.0,45.0,24.64,80.41,7.73,253.72,0.0,6.0
